"Region_class","Date_S","DN","barco","Sv_mean_38kHz","NASC_38kHz","Sv_max_38kHz","Sv_min_38kHz","Sv_noise_38kHz","NASC_noise_38kHz","Height_mean","Depth_mean","Dist_M","Date_M","Lat_M","Lon_M","EV_filename","Uncorrected_length","Uncorrected_thickness","Uncorrected_perimeter","Uncorrected_area","Standard_deviation_38kHz","Skewness_38kHz","Kurtosis_38kHz","Attack_angle","Corrected_length","Corrected_thickness","Corrected_perimeter","Corrected_area","Image_compactness_38kHz","Corrected_mean_amplitude","Corrected_MVBS_38kHz","Coefficient_of_variation_38kHz","Horizontal_roughness_coefficient","Vertical_roughness_coefficient","X3D_school_area","X3D_school_volume","ABC","ABC_noise","Area_Backscatter_Strength","Thickness_mean","Sv_mean_70kHz","NASC_70kHz","Sv_max_70kHz","Sv_min_70kHz","Sv_noise_70kHz","NASC_noise_70kHz","Standard_deviation_70kHz","Skewness_70kHz","Kurtosis_70kHz","Image_compactness_70kHz","Corrected_MVBS_70kHz","Coefficient_of_variation_70kHz","Sv_mean_120kHz","NASC_120kHz","Sv_max_120kHz","Sv_min_120kHz","Sv_noise_120kHz","NASC_noise_120kHz","Standard_deviation_120kHz","Skewness_120kHz","Kurtosis_120kHz","Image_compactness_120kHz","Corrected_MVBS_120kHz","Coefficient_of_variation_120kHz","Sv_mean_200kHz","NASC_200kHz","Sv_max_200kHz","Sv_min_200kHz","Sv_noise_200kHz","NASC_noise_200kHz","Standard_deviation_200kHz","Skewness_200kHz","Kurtosis_200kHz","Image_compactness_200kHz","Corrected_MVBS_200kHz","Coefficient_of_variation_200kHz","ddB70","ddB120","ddB200","mes","VI","DC"
" Unclassified regions",20200324,2,"flores",-43.145059,3255.872757,-30.630495,-67.976591,-972.433561,0,1.558409,21.785956,2.154923,20200324,-16.89215712,-72.69249522," C:/Taller 2021/Flores/Transecto 100 Caleta Quilca_v2/Transecto 100 Caleta Quilca_v2.ev",25.445927,3.320675,171.435611,43.193303,0.00011759866663,4.11386,19.265266,9.922497,21.663572,2.936675,163.102901,32.520538,65.096222,4.469735388e-05,-43.497182,263.09984,0.00075346097181,8.25719142e-06,254.475492,54.321674,7.553975807e-05,0,-41.2182441041,1.558409,-45.469331,1906.515152,-32.977056,-67.741875,-971.896098,0,5.59488389e-05,3.698337,18.274031,64.852273,-45.828412,214.107718,-46.117451,1642.208346,-36.773614,-67.901627,-970.448098,0,3.719940314e-05,2.213963,4.998688,64.511922,-46.486281,165.639555,-47.650197,1153.861303,-35.80557,-67.960818,-970.43516,0,4.144117332e-05,3.854656,15.616323,63.996121,-48.033983,263.530196,2.32427199999999,2.972392,4.505138,3,"Summer",14.2092069075176
" Unclassified regions",20200324,2,"flores",-51.611828,182.619158,-45.823875,-67.85002,-974.574735,0,0.614097,17.363767,2.243366,20200324,-16.89087133,-72.691794," C:/Taller 2021/Flores/Transecto 100 Caleta Quilca_v2/Transecto 100 Caleta Quilca_v2.ev",14.405525,0.864285,53.665425,8.203703,7.01675348e-06,0.876486,-0.085646,7.470709,12.138277,0.480285,48.362928,3.841316,48.454625,4.006094435e-06,-53.972788,175.151974,2.591745344e-05,2.9704902e-07,23.319344,0.862272,4.23696136e-06,0,-53.7294549706,0.614097,-54.073265,103.610235,-48.853423,-66.622927,-973.606582,0,3.6503105e-06,0.9468,-0.296829,48.46274,-56.45093,161.221436,-55.371604,76.836699,-50.897208,-67.941399,-972.822559,0,2.32256794e-06,0.446668,-1.0905,48.481309,-57.766841,138.884109,-57.233991,50.041462,-49.609633,-67.800602,-972.735119,0,2.21581024e-06,2.470094,7.04683,48.521756,-59.652536,204.543716,2.461437,3.759776,5.622163,3,"Summer",14.1293054580313
" Unclassified regions",20200324,2,"flores",-39.088448,5175.642827,-29.264378,-67.391304,-973.74481,0,0.973458,18.68518,2.266614,20200324,-16.89053333,-72.6916," C:/Taller 2021/Flores/Transecto 100 Caleta Quilca_v2/Transecto 100 Caleta Quilca_v2.ev",14.87452,1.62243,76.641733,16.270284,0.00021786507585,2.715133,8.199691,11.02915,11.266568,1.23843,68.657831,9.406961,39.876859,0.0001007773862,-39.966369,216.184487,0.00125692276793,8.28875469e-06,55.811439,7.730315,0.00012008049338,0,-39.2052753636,0.973458,-41.610911,2895.463215,-33.441695,-67.976292,-973.440922,0,9.382601442e-05,1.461219,1.626406,39.711218,-42.502116,166.930192,-39.855242,4337.954333,-29.932622,-67.972899,-972.054427,0,0.00019794518862,2.661248,6.866817,39.665354,-40.750102,235.263811,-47.360524,770.471726,-41.467981,-67.973912,-972.055674,0,1.975638665e-05,0.926202,-0.163816,38.777869,-48.324566,134.327246,2.522463,0.766793999999997,8.272076,3,"Summer",14.1082756748153
" Unclassified regions",20200324,2,"flores",-47.265162,410.96297,-38.453407,-67.335523,-974.711776,0,0.507957,16.843719,2.279365,20200324,-16.89034524,-72.69149762," C:/Taller 2021/Flores/Transecto 100 Caleta Quilca_v2/Transecto 100 Caleta Quilca_v2.ev",18.04095,0.849122,54.4988,8.658004,2.597147409e-05,2.334033,6.989593,8.793862,15.450658,0.465122,48.550216,4.061648,46.181725,1.070840674e-05,-49.702751,242.533504,7.024020331e-05,1.39674781e-06,28.745788,1.093883,9.53478396e-06,0,-50.2068914289,0.507957,-47.206988,416.504939,-38.203971,-66.903931,-974.450711,0,3.708784965e-05,2.244338,3.768154,46.137994,-49.641564,341.497874,-50.087302,214.579741,-42.647353,-67.111154,-973.137709,0,1.327579419e-05,1.737365,2.196665,46.458039,-52.543287,238.445565,-54.624671,75.483466,-41.160315,-67.864764,-973.538992,0,9.25160934e-06,6.433252,44.704848,46.958733,-57.11222,475.816234,-0.058173999999994,2.82214,7.359509,3,"Summer",14.0965987409289
" Unclassified regions",20200324,2,"flores",-45.07663,725.917257,-37.344839,-67.229666,-974.911627,0,0.542074,15.910336,2.298694,20200324,-16.89005796,-72.69134565," C:/Taller 2021/Flores/Transecto 100 Caleta Quilca_v2/Transecto 100 Caleta Quilca_v2.ev",13.0454,0.879448,31.620262,6.564146,4.398472008e-05,2.014125,3.301748,9.48827,10.404586,0.495448,25.570633,2.949399,17.641663,1.850409907e-05,-47.327321,237.702576,0.00016689205307,1.59906263e-06,20.619733,0.854794,1.684206296e-05,0,-47.7360471342,0.542074,-41.290949,1735.622281,-32.586637,-67.001806,-974.611521,0,0.00014030996995,2.142484,3.435785,17.287394,-43.508589,314.736722,-49.989613,234.201058,-45.541347,-67.679275,-973.723828,0,8.75950741e-06,0.609328,-1.021741,18.15859,-52.282758,148.16835,-49.743448,247.859401,-45.722377,-67.823086,-973.342367,0,8.49690161e-06,0.183218,-1.389383,18.302099,-52.047434,136.145721,-3.785681,4.912983,4.666818,3,"Summer",14.0787853282923
" Unclassified regions",20200324,2,"flores",-44.142675,910.9551,-31.415383,-67.135698,-972.993316,0,0.548621,19.959215,2.308447,20200324,-16.88991091,-72.69127212," C:/Taller 2021/Flores/Transecto 100 Caleta Quilca_v2/Transecto 100 Caleta Quilca_v2.ev",34.025357,1.425313,104.584556,19.054193,0.0001035237188,4.352446,20.919256,9.603167,30.672202,1.041313,97.110246,12.548847,59.802097,2.901760995e-05,-45.373384,356.761701,0.00049944015784,1.160082707e-05,127.757402,5.090339,2.113514042e-05,0,-46.749948625,0.548621,-44.191138,900.846244,-31.992105,-67.894748,-972.784404,0,0.00011199737112,4.032726,15.602131,59.77264,-45.420229,390.149202,-47.853197,387.654457,-38.51277,-67.798357,-971.501708,0,2.849835765e-05,2.184935,4.106714,60.04379,-49.097134,231.490538,-51.170116,180.614614,-41.004113,-67.936715,-971.322436,0,1.411789205e-05,2.714149,7.29808,60.325932,-52.429634,247.02063,0.0484630000000053,3.710522,7.027441,3,"Summer",14.0696859692179
" Unclassified regions",20200324,2,"flores",-49.343838,200.399049,-36.530839,-67.997304,-972.707926,0,0.399749,21.809113,2.356702,20200324,-16.88921667,-72.69086667," C:/Taller 2021/Flores/Transecto 100 Caleta Quilca_v2/Transecto 100 Caleta Quilca_v2.ev",31.627463,0.894611,131.421394,12.502265,3.195308051e-05,4.560095,22.892482,8.105543,28.537006,0.510611,124.472481,6.43856,191.490885,6.843059953e-06,-51.647497,466.941408,0.00026079110615,4.32306662e-06,58.285248,1.492462,4.64947399e-06,0,-53.3259617754,0.399749,-52.76712,91.11029,-39.755447,-67.915468,-972.133129,0,1.347057691e-05,4.275646,21.585299,191.281873,-55.082802,434.17663,-51.121909,133.072577,-42.124573,-67.885681,-970.416162,0,1.42615951e-05,2.425759,5.041116,191.321612,-53.435197,314.548615,-53.07936,84.78976,-37.691672,-67.823644,-969.978674,0,1.773971035e-05,6.860695,51.776336,191.11144,-55.406057,615.959593,3.423282,1.778071,3.735522,3,"Summer",14.0265074669184
" Unclassified regions",20200324,2,"flores",-45.804918,953.915318,-33.481322,-67.922715,-971.885045,0,0.842383,23.411791,2.388607,20200324,-16.88874998,-72.69060415," C:/Taller 2021/Flores/Transecto 100 Caleta Quilca_v2/Transecto 100 Caleta Quilca_v2.ev",23.925052,1.62243,125.330897,21.835699,7.177503087e-05,3.964551,16.17884,9.22609,20.146986,1.23843,117.006766,14.035562,77.621543,2.095706747e-05,-46.786695,342.486042,0.00056012990868,5.84642252e-06,99.802553,8.718327,2.213186379e-05,0,-46.5498201129,0.842383,-48.582283,503.237886,-37.100094,-67.992394,-971.685218,0,3.356503527e-05,2.933895,8.611692,77.30076,-49.575806,304.41618,-51.079799,283.153342,-40.041367,-67.934922,-969.775368,0,1.716453709e-05,3.508972,12.867136,76.744227,-52.094019,277.99311,-51.95609,231.415609,-38.984259,-67.934727,-968.97165,0,1.975286525e-05,4.223592,17.87145,76.401133,-52.983445,392.622007,2.777365,5.274881,6.151172,3,"Summer",13.9975373814199
" Unclassified regions",20200324,2,"flores",-42.163518,1284.022997,-32.856438,-67.24022,-974.229073,0,0.490267,17.245115,2.424453,20200324,-16.88822676,-72.69033005," C:/Taller 2021/Flores/Transecto 100 Caleta Quilca_v2/Transecto 100 Caleta Quilca_v2.ev",27.667417,0.924937,67.441893,13.727927,0.00010684957721,2.202477,4.114368,10.129216,24.610719,0.540937,60.560498,7.141594,40.867103,3.673539755e-05,-44.349153,290.862722,0.00050507177698,5.90021896e-06,53.251384,2.319719,2.979071781e-05,0,-45.2591903226,0.490267,-44.286459,787.550922,-34.149036,-66.981709,-974.198531,0,8.096199562e-05,2.638433,6.426375,40.987257,-46.476104,359.659535,-48.764261,280.865586,-39.343549,-67.914598,-972.924459,0,2.434803988e-05,2.421547,5.323657,41.535709,-50.972211,304.568584,-45.318169,621.022986,-33.91123,-67.892761,-972.94664,0,6.985116546e-05,3.045273,9.832705,41.424082,-47.522378,394.831232,2.122941,6.60074299999999,3.15465099999999,3,"Summer",13.9651507982469
" Unclassified regions",20200324,2,"flores",-51.413294,201.573038,-39.337819,-67.876104,-976.487429,0,0.647545,13.781259,2.460872,20200324,-16.88769858,-72.69004096," C:/Taller 2021/Flores/Transecto 100 Caleta Quilca_v2/Transecto 100 Caleta Quilca_v2.ev",49.678086,1.41015,218.063021,31.426957,1.510913994e-05,4.036201,19.219265,7.344998,47.908982,1.02615,213.756814,22.054638,164.865636,5.337107865e-06,-52.72694,283.09602,8.066372585e-05,1.10819359e-06,196.647152,7.156112,4.6767118e-06,0,-53.3005939253,0.647545,-55.073417,86.780092,-44.908439,-67.937655,-976.446039,0,5.07946434e-06,3.047015,11.159556,164.759719,-56.394926,221.467777,-54.310144,103.454018,-45.589306,-67.998375,-975.381322,0,5.86377129e-06,2.247769,4.64812,164.75911,-55.631701,214.460429,-58.191566,42.325802,-47.021655,-67.97765,-975.814161,0,3.39642623e-06,3.672995,13.887277,164.60294,-59.526645,304.569667,3.660123,2.89685,6.778272,3,"Summer",13.9324235277633
