"Region_class","Date_S","DN","barco","Sv_mean_38kHz","NASC_38kHz","Sv_max_38kHz","Sv_min_38kHz","Sv_noise_38kHz","NASC_noise_38kHz","Height_mean","Depth_mean","Dist_M","Date_M","Lat_M","Lon_M","EV_filename","Uncorrected_length","Uncorrected_thickness","Uncorrected_perimeter","Uncorrected_area","Standard_deviation_38kHz","Skewness_38kHz","Kurtosis_38kHz","Attack_angle","Corrected_length","Corrected_thickness","Corrected_perimeter","Corrected_area","Image_compactness_38kHz","Corrected_mean_amplitude","Corrected_MVBS_38kHz","Coefficient_of_variation_38kHz","Horizontal_roughness_coefficient","Vertical_roughness_coefficient","X3D_school_area","X3D_school_volume","ABC","ABC_noise","Area_Backscatter_Strength","Thickness_mean","Sv_mean_70kHz","NASC_70kHz","Sv_max_70kHz","Sv_min_70kHz","Sv_noise_70kHz","NASC_noise_70kHz","Standard_deviation_70kHz","Skewness_70kHz","Kurtosis_70kHz","Image_compactness_70kHz","Corrected_MVBS_70kHz","Coefficient_of_variation_70kHz","Sv_mean_120kHz","NASC_120kHz","Sv_max_120kHz","Sv_min_120kHz","Sv_noise_120kHz","NASC_noise_120kHz","Standard_deviation_120kHz","Skewness_120kHz","Kurtosis_120kHz","Image_compactness_120kHz","Corrected_MVBS_120kHz","Coefficient_of_variation_120kHz","Sv_mean_200kHz","NASC_200kHz","Sv_max_200kHz","Sv_min_200kHz","Sv_noise_200kHz","NASC_noise_200kHz","Standard_deviation_200kHz","Skewness_200kHz","Kurtosis_200kHz","Image_compactness_200kHz","Corrected_MVBS_200kHz","Coefficient_of_variation_200kHz","ddB70","ddB120","ddB200","mes","VI"
" Anchovy",20160410,1,"JOB",-30.617607,21186.759648,-21.109793,-67.052937,-987.351265,0,0.566674,4.121116,1.330562,20160410,-7.776836,-79.44101667," //desktop01/2019/Detecciones/Muestras_Lances/Datos_Lances/Lances_Anchoveta/Lances_Anchoveta_5frec/Cr160304_JOB_Anchoveta_Lance_25/Cr160304_JOB_Anchoveta_Lance_25.ev",37.640382,1.460957,83.801004,20.468972,0.00160065683311,2.814007,8.385649,13.157844,36.689796,1.076957,81.131832,14.707817,35.614307,0.0006473190625,-31.888816,247.274787,0.00748903851901,0.00172898307413,158.053299,5.573548,0.00049155566498,0,-33.0842729446,0.566674,-34.525648,8615.102438,-26.148154,-64.543813,-987.45881,0,0.0005494217201,2.144866,4.642932,35.691255,-35.800621,208.914183,-31.858747,15920.27477,-20.959952,-67.260331,-986.868178,0,0.00162895653606,3.483884,12.512417,35.630319,-33.130727,334.951676,-34.670096,8333.273511,-24.058404,-67.702781,-987.298173,0,0.00082960258224,3.465863,11.650913,35.700191,-35.945517,326.153277,3.908041,1.24114,4.052489,4,"Summer"
" Anchovy",20160410,1,"JOB",-34.123128,13645.97113,-28.729614,-60.953432,-987.148362,0,0.818136,4.113869,1.376477,20160410,-7.77751267,-79.44081667," //desktop01/2019/Detecciones/Muestras_Lances/Datos_Lances/Lances_Anchoveta/Lances_Anchoveta_5frec/Cr160304_JOB_Anchoveta_Lance_25/Cr160304_JOB_Anchoveta_Lance_25.ev",15.528757,1.071368,35.492229,12.568635,0.0004581297663,1.056666,-0.449936,12.429821,14.632772,0.687368,32.932259,7.598515,11.358067,0.0002535965571,-35.958566,180.652991,0.00123129887212,0.00042013275056,40.232415,3.108594,0.00031660124175,0,-34.9948738612,0.818136,-33.512299,15706.785784,-24.662988,-61.332386,-987.337702,0,0.00082317041262,2.62438,6.302747,11.37471,-35.349627,282.132052,-32.64333,19185.989726,-23.87618,-62.720653,-986.848682,0,0.00094405747872,3.00296,8.916972,11.344685,-34.477262,264.682153,-33.333048,16368.634321,-25.016099,-60.716375,-987.195609,0,0.00073916351237,2.245404,4.539201,11.378713,-35.170832,243.121721,-0.610829000000003,-1.479798,-0.790080000000003,4,"Summer"
" Anchovy",20160410,1,"JOB",NA,45290.563695,NA,-61.09685,-987.401109,0,0.827876,4.013334,1.415769,20160410,-7.77807267,-79.44065," //desktop01/2019/Detecciones/Muestras_Lances/Datos_Lances/Lances_Anchoveta/Lances_Anchoveta_5frec/Cr160304_JOB_Anchoveta_Lance_25/Cr160304_JOB_Anchoveta_Lance_25.ev",11.007315,0.876574,27.139953,8.932111,0.00265086549881,2.664298,6.61013,13.538275,10.054578,0.492574,24.466478,4.58479,10.389953,0.0007333935807,-31.346629,361.451964,0.01780388596835,0.00244141131687,19.810498,1.663023,0.00105078990485,0,-29.7848410822,0.827876,-31.497384,25276.587722,-24.074221,-63.077107,-987.979701,0,0.00119063327867,1.795632,2.059364,10.439851,-33.886158,291.33576,-30.224556,33884.513182,-22.811365,-66.012302,-987.08523,0,0.00150380122997,1.655655,1.687131,10.403023,-32.608425,274.17821,-31.797538,23588.648803,-24.309058,-66.073254,-987.769276,0,0.00108366217988,1.5907,1.371295,10.448992,-34.187536,284.215347,NA,NA,NA,4,"Summer"
" Anchovy",20160416,2,"JOB",-54.40531,95.145216,-47.997414,-66.593911,-981.619555,0,0.608732,8.013835,1.694834,20160416,-11.1091588,-77.95977547," //desktop01/2019/Detecciones/Muestras_Lances/Datos_Lances/Lances_Anchoveta/Lances_Anchoveta_5frec/Cr160304_JOB_Anchoveta_Lance_45/Cr160304_JOB_Anchoveta_Lance_45.ev",14.584165,0.876574,31.414319,8.847122,4.48698932e-06,1.453839,1.344099,6.560684,13.665532,0.492574,28.809054,4.658327,14.178105,2.084060451e-06,-56.810897,215.300344,8.17309683e-06,2.28896607e-06,26.925148,1.38108,2.20747159e-06,0,-56.5610487654,0.608732,-55.790744,69.158183,-50.173725,-64.986074,-981.60555,0,2.91646019e-06,1.060624,-0.011695,14.287134,-58.204781,192.900858,-57.20912,49.889129,-52.095069,-67.665659,-980.511474,0,1.98866542e-06,1.007805,-0.188186,14.340342,-59.627414,182.516933,-60.813387,21.756009,-54.858776,-67.31967,-981.352516,0,9.7646806e-07,1.618024,1.719244,14.617543,-63.25604,206.662662,1.385434,2.80381,6.408077,4,"Summer"
" Anchovy",20160416,2,"JOB",-48.011296,376.041711,-41.771324,-66.740305,-980.120293,0,0.551917,9.407416,1.734004,20160416,-11.10883333,-77.9592688," //desktop01/2019/Detecciones/Muestras_Lances/Datos_Lances/Lances_Anchoveta/Lances_Anchoveta_5frec/Cr160304_JOB_Anchoveta_Lance_45/Cr160304_JOB_Anchoveta_Lance_45.ev",10.096376,0.876574,23.870805,5.428249,2.254494263e-05,1.33842,0.567548,8.930208,8.627146,0.492574,20.164346,2.60642,12.414066,9.255371292e-06,-50.336062,243.587663,-9.9e+37,1.311559315e-05,16.998035,0.766124,8.7245731e-06,0,-50.5925581426,0.551917,-54.831045,78.209795,-49.85573,-67.617249,-979.341315,0,3.29071151e-06,1.167479,0.211278,12.875584,-57.199352,172.673231,-55.734903,63.514856,-50.362281,-62.931773,-978.961783,0,2.35740454e-06,1.607226,2.473306,12.896125,-58.10511,152.386017,-58.847252,31.019899,-51.770073,-65.102335,-978.5301,0,1.5444984e-06,2.915839,9.590909,13.188699,-61.244948,205.722706,6.819749,7.723607,10.835956,4,"Summer"
" Anchovy",20160416,2,"JOB",-49.501172,337.472186,-37.737364,-67.623869,-981.085605,0,0.698013,8.292345,1.785983,20160416,-11.10843333,-77.95863547," //desktop01/2019/Detecciones/Muestras_Lances/Datos_Lances/Lances_Anchoveta/Lances_Anchoveta_5frec/Cr160304_JOB_Anchoveta_Lance_45/Cr160304_JOB_Anchoveta_Lance_45.ev",23.421325,1.558354,59.601616,18.147475,3.057314134e-05,4.359362,19.531199,8.322315,22.214725,1.174354,56.420415,12.971153,19.529185,8.620961322e-06,-50.644443,354.637264,1.93354353e-06,2.633908752e-05,104.351796,7.069618,7.82971855e-06,0,-51.0625384897,0.698013,-56.730834,63.866305,-48.853127,-67.996374,-981.453768,0,3.08864345e-06,2.028482,3.763536,19.752781,-57.896345,190.28399,-55.320612,88.367772,-45.967095,-67.793881,-980.277324,0,4.64125465e-06,3.401894,13.401137,19.690529,-56.479562,206.343887,-56.762779,63.398242,-49.41735,-67.876776,-979.972925,0,2.81453002e-06,1.900816,2.979376,19.757999,-57.928857,174.699477,7.229662,5.81944,7.26160700000001,4,"Summer"
" Anchovy",20160416,2,"JOB",-47.522289,995.208056,-38.625503,-66.20709,-979.75169,0,1.305121,9.280346,1.820095,20160416,-11.1081788,-77.95821667," //desktop01/2019/Detecciones/Muestras_Lances/Datos_Lances/Lances_Anchoveta/Lances_Anchoveta_5frec/Cr160304_JOB_Anchoveta_Lance_45/Cr160304_JOB_Anchoveta_Lance_45.ev",16.184753,2.532325,44.228948,21.301863,2.835713774e-05,2.802804,8.26624,9.00207,14.723657,2.148325,40.538757,16.440225,7.954689,1.544595133e-05,-48.111853,183.589454,0.00010913618703,2.005071421e-05,126.524811,19.911049,2.308989983e-05,0,-46.365779512,1.305121,-55.081745,174.569433,-47.645766,-67.968624,-979.891457,0,3.41466773e-06,2.099566,5.356239,8.073852,-55.701111,126.89939,-54.072274,220.249718,-45.452172,-67.596111,-979.065084,0,5.21032875e-06,2.699379,8.631275,8.047082,-54.684738,153.228265,-53.404725,256.844463,-43.170715,-66.243559,-979.214605,0,9.95636991e-06,3.406513,11.476613,8.050583,-54.018082,251.136145,7.559456,6.549985,5.882436,4,"Summer"
" Anchovy",20160416,2,"JOB",-45.929609,1221.748828,-35.589299,-65.221925,-978.287495,0,1.110327,11.219465,1.832791,20160416,-11.10808333,-77.9580588," //desktop01/2019/Detecciones/Muestras_Lances/Datos_Lances/Lances_Anchoveta/Lances_Anchoveta_5frec/Cr160304_JOB_Anchoveta_Lance_45/Cr160304_JOB_Anchoveta_Lance_45.ev",21.586465,1.558354,51.804184,21.78523,5.877263592e-05,3.434797,11.48214,9.473456,19.727167,1.174354,47.317588,15.003005,11.875642,1.978037065e-05,-47.037656,297.12606,0.00041702986118,4.973300421e-05,92.666705,10.561807,2.834588997e-05,0,-45.47509903,1.110327,-50.027741,475.519928,-41.83259,-65.374077,-977.851592,0,1.57763526e-05,2.071078,3.599866,12.004984,-51.150444,205.613203,-48.02993,753.26841,-39.462167,-67.631987,-977.308907,0,2.362302099e-05,2.323531,6.330305,11.927495,-49.143799,193.961391,-49.979008,480.885822,-40.437811,-66.39807,-977.872026,0,1.903167219e-05,2.696765,7.554314,12.010429,-51.10234,245.307587,4.098132,2.100321,4.049399,4,"Summer"
" Anchovy",20160416,2,"JOB",-47.368183,666.916974,-41.377816,-66.929378,-980.640497,0,0.844108,8.361168,1.851054,20160416,-11.1079488,-77.95781667," //desktop01/2019/Detecciones/Muestras_Lances/Datos_Lances/Lances_Anchoveta/Lances_Anchoveta_5frec/Cr160304_JOB_Anchoveta_Lance_45/Cr160304_JOB_Anchoveta_Lance_45.ev",11.265267,0.876574,22.842396,9.589036,1.953776226e-05,1.271224,0.995417,9.086356,9.936509,0.492574,19.416881,4.752808,6.312463,1.066561629e-05,-49.72014,183.18456,4.064243793e-05,1.224971747e-05,19.577868,1.789989,1.547319278e-05,0,-48.1042006343,0.844108,-53.561862,160.215236,-45.560612,-67.064852,-980.783622,0,6.26419444e-06,2.690256,7.774121,6.549973,-55.944291,246.203581,-54.757038,121.670761,-49.291183,-67.147741,-980.102643,0,3.24872855e-06,1.366098,1.386583,6.569626,-57.142015,168.234428,-52.031735,227.885412,-43.521886,-66.809916,-980.450036,0,1.407338329e-05,2.451648,4.529955,6.503416,-54.408165,388.342587,6.193679,7.388855,4.663552,4,"Summer"
" Anchovy",20160416,2,"JOB",-45.367918,1936.242906,-36.252231,-67.294601,-977.852813,0,1.546179,11.568784,1.866528,20160416,-11.10782547,-77.95762547," //desktop01/2019/Detecciones/Muestras_Lances/Datos_Lances/Lances_Anchoveta/Lances_Anchoveta_5frec/Cr160304_JOB_Anchoveta_Lance_45/Cr160304_JOB_Anchoveta_Lance_45.ev",27.222852,2.824516,68.18557,34.917898,4.688087018e-05,2.805644,8.433231,9.619345,25.276003,2.440516,63.523871,28.013056,11.463139,2.572590807e-05,-45.896293,182.23213,0.00018451872121,3.742974018e-05,246.746005,35.681663,4.492292285e-05,0,-43.4753199474,1.546179,-48.204521,1007.626455,-36.591415,-67.527395,-977.765515,0,3.148298905e-05,4.079931,20.374795,11.529816,-48.742177,235.664237,-48.862547,865.958332,-37.898222,-67.892184,-977.136143,0,2.314722762e-05,3.927078,19.270774,11.522365,-49.39915,201.56448,-53.347122,308.346829,-43.022177,-67.073488,-977.015311,0,7.12512227e-06,3.734454,17.853389,11.627977,-53.899145,174.866574,2.836603,3.494629,7.979204,4,"Summer"
