Region_class;Sv_mean;NASC;Height_mean;Depth_mean;Date_M;Time_M;Lat_M;Lon_M;Standard_deviation;Skewness;Kurtosis;Corrected_length;Corrected_thickness;Corrected_perimeter;Corrected_area;Image_compactness;Corrected_MVBS;Coefficient_of_variation;X3D_school_area;X3D_school_volume
 MUN;-62.468917;28.206105;1.155428;33.41509;20170306; 10:41:10.04;-18.28595;-70.74300703;3.22E-07;2.805726;10.996766;46.507212;4.098505;306.794118;48.832039;153.383744;-62.803281;61.349744;762.44015;21.046755
 MUN;-62.042052;26.862713;0.997386;12.672989;20170306; 10:50:26.86;-18.28462869;-70.75002131;4.86E-07;1.56698;2.185175;58.715581;2.344481;246.569808;50.073048;96.619748;-62.675293;90.072402;550.630325;26.445628
 MUN;-59.649828;478.354408;10.238603;26.054382;20170306; 10:50:58.06;-18.28457367;-70.75044034;1.76E-06;4.986753;37.734263;231.877163;14.135418;1810.923249;1974.355175;132.179755;-59.743806;166.078237;13110.72267;9656.781107
 MUN;-62.01881;37.995863;1.403219;15.087852;20170306; 10:51:26.86;-18.28449537;-70.75083333;6.41E-07;3.394853;16.727271;54.900846;2.929156;281.233314;68.226583;92.250779;-62.523346;114.549559;643.252528;47.198501
 MUN;-55.993102;1367.569723;12.611533;28.110387;20170306; 10:54:14.87;-18.28396667;-70.75308798;3.27E-06;3.236829;16.041468;228.807525;16.376671;2537.938541;2793.778889;183.467991;-56.062546;132.087773;14988.42195;21724.40116
 MUN;-53.985234;2173.480379;12.623718;25.367237;20170306; 11:03:31.69;-18.28186667;-70.75885;7.87E-06;7.831808;105.940276;923.221146;25.926355;5326.873813;11348.33072;198.977042;-54.03743;199.451216;95743.03716;96262.4061
 MUN;-62.24701;24.03394;0.935479;14.403701;20170306; 11:00:14.88;-18.28278333;-70.75691667;7.76E-07;3.538346;12.844494;14.485744;2.344481;53.044352;11.598933;19.304137;-62.83424;149.116411;135.846219;9.163245
 MUN;-61.992769;30.194597;1.108446;14.619006;20170306; 11:03:05.29;-18.28201667;-70.75859566;5.57E-07;1.709588;3.316196;45.705035;2.636819;223.0721;44.126446;89.739097;-62.549123;100.241213;482.063532;28.183366
 MUN;-62.709674;17.72303;0.767385;13.011329;20170306; 11:05:12.49;-18.28140057;-70.75974943;3.28E-07;1.402011;3.900556;21.337743;1.662361;63.173685;13.371771;23.750548;-63.566232;74.532974;141.884125;6.442344
 MUN;-60.647088;23.15933;0.623653;13.100364;20170306; 11:08:41.30;-18.28028766;-70.76204567;7.47E-07;1.819685;3.761004;41.299786;1.662361;153.02754;21.089726;88.360544;-61.508068;105.697754;274.620605;7.704929
 MUN;-55.561797;1455.973507;12.157418;25.863962;20170306; 11:12:46.11;-18.28036667;-70.76680703;4.65E-06;7.675317;118.309981;613.093812;23.97744;3535.977363;6856.686432;145.10915;-55.61597;169.511475;58801.68018;58276.52147
 ANCG;-55.040883;157.887485;1.169349;5.798023;20170306; 08:00:36.10;-18.2979;-70.61523257;2.08E-06;0.024083;-1.628257;6.724365;0.785349;15.09108;5.280974;3.431758;-56.652236;96.244021;21.123898;3.257367
 ANCG;-56.118625;147.142955;1.396723;4.135779;20170306; 08:03:36.11;-18.29776667;-70.6204941;3.02E-06;2.458481;8.713919;69.906404;2.83171;242.681435;86.795179;53.996753;-56.652486;139.733441;791.818675;75.405484
 ANCG;-56.273513;122.835852;1.208327;3.926121;20170306; 08:03:55.31;-18.29775;-70.62113333;2.64E-06;2.605036;8.049812;42.593425;2.344481;108.532913;44.208853;21.203317;-56.907144;129.332917;399.437951;41.648019
 ANCG;-58.333879;47.257793;0.747084;5.384937;20170306; 08:04:02.51;-18.29775;-70.62138598;1.30E-06;1.365421;1.225128;25.541986;1.272578;88.630199;14.792504;42.258286;-59.440033;114.086518;130.016669;7.49715
 ANCG;-60.844342;27.663722;0.779566;4.969734;20170306; 08:04:09.71;-18.29775;-70.62162739;5.10E-07;0.445464;-1.225894;17.503148;0.882795;54.55307;9.555364;24.784565;-62.375223;88.07888;61.806759;3.429448
 ANCG;-57.380534;89.822934;1.140115;5.344525;20170306; 08:04:24.11;-18.29776667;-70.62214415;1.79E-06;1.658301;2.858673;86.449888;3.221493;198.984356;87.644464;35.950382;-57.852028;109.383037;1113.990874;84.543855
 ANCG;-56.936433;126.447369;1.448976;4.051122;20170306; 08:05:04.91;-18.29773333;-70.623395;2.84E-06;4.54703;32.524606;165.899786;4.293396;575.781492;221.093429;119.324522;-57.299391;152.378451;2849.094213;204.807894
 ANCG;-58.366441;32.629424;0.519711;2.87465;20170306; 08:05:36.11;-18.29771667;-70.62423181;2.07E-06;2.089576;3.417085;39.07756;0.882795;93.992442;14.166441;49.626681;-59.916359;203.254604;137.98988;4.113213
 ANCG;-56.648656;45.431716;0.487229;6.095232;20170306; 08:05:36.11;-18.29771667;-70.62423181;2.44E-06;1.487338;1.268401;25.558736;0.687903;78.727268;7.992004;61.71416;-58.527556;174.024424;70.32776;1.884169
 ANCG;-60.812018;24.96722;0.698361;4.715922;20170306; 08:05:50.51;-18.29771667;-70.62458864;8.69E-07;2.462362;5.972427;37.109582;1.272578;128.334511;19.798039;66.199526;-61.935933;135.691449;188.899336;5.791712
 ANCG;-56.137806;206.562633;1.96943;6.840997;20170306; 08:06:31.31;-18.29765;-70.62553333;3.57E-06;3.783547;21.141809;108.148838;4.195951;467.337616;195.067234;89.097863;-56.498795;159.481376;1815.14878;212.117102
 ANCG;-56.788544;87.983333;0.974458;3.543777;20170306; 08:07:14.51;-18.29761403;-70.62655263;2.82E-06;2.085858;3.921642;54.786788;1.564915;128.837326;42.902151;30.788922;-57.72268;166.894342;342.946705;33.871449
 ANCG;-60.118658;44.955377;1.071903;5.829028;20170306; 08:07:31.31;-18.29758333;-70.62696667;7.79E-07;1.338015;1.031578;12.327387;1.467469;27.746138;10.473829;5.849109;-61.070361;99.67754;72.360256;9.068429
 ANCG;-58.563519;40.926154;0.68212;3.521968;20170306; 08:07:36.11;-18.29756667;-70.62708041;1.03E-06;0.696612;-0.61005;19.23356;0.882795;52.997151;9.244695;24.177011;-60.097095;105.041056;67.917154;2.794913
 ANCG;-54.570563;168.615052;1.120626;5.173099;20170306; 08:07:50.51;-18.297553;-70.627453;3.99E-06;1.255053;0.360758;12.512135;1.370024;27.761832;10.950493;5.600834;-55.56872;143.920729;68.567684;9.932311
 ANCG;-59.653451;54.587215;1.169349;4.043999;20170306; 08:08:19.32;-18.29753333;-70.62816667;5.21E-07;-0.079451;-1.143938;5.893274;0.785349;13.535927;4.628278;3.150263;-61.305123;70.383155;18.513111;2.854776
 ANCG;-59.460734;31.702249;0.649638;3.946553;20170306; 08:08:31.32;-18.29751667;-70.62846667;1.21E-06;1.785586;2.269652;18.364807;0.882795;51.122897;8.283609;25.107383;-60.99311;152.518849;64.849431;2.532202
 ANCG;-60.844312;43.657113;1.230253;5.000608;20170306; 08:09:50.52;-18.29743333;-70.63033597;6.92E-07;1.510782;2.900179;44.18767;2.14959;175.03802;46.165566;52.812504;-61.53857;98.653934;379.941447;30.26781
 ANCG;-62.904908;20.440316;0.925735;4.728684;20170306; 08:10:26.52;-18.2974;-70.63112193;3.08E-07;1.413036;1.192339;11.241335;1.175132;47.607453;7.843212;22.99567;-64.099406;79.059397;52.840217;3.785831
 ANCG;-57.487016;95.388337;1.240809;5.605427;20170306; 08:11:36.12;-18.29731961;-70.63262744;2.42E-06;2.845864;9.383363;72.657299;3.611276;314.97675;82.18998;96.056832;-57.905381;149.154618;1049.542286;46.578805
 ANCG;-57.740622;71.369719;0.984202;6.091807;20170306; 08:12:14.52;-18.29725;-70.63320267;2.60E-06;2.823817;8.713017;27.982134;2.344481;99.967079;24.334424;32.680076;-58.357671;178.471622;262.414359;17.607016
